Merged Data for Selected Target Ranges

Target Range: 108.57 nm
Trial 11 - Backward: Error: -15.83 nm, Time: 0.58 sec
Trial 12 - Forward: Error: -47.11 nm, Time: 0.59 sec
Trial 12 - Backward: Error: -459.18 nm, Time: 0.33 sec
Trial 13 - Forward: Error: -54.30 nm, Time: 1.03 sec
Trial 13 - Backward: Error: -120.27 nm, Time: 0.21 sec
Trial 14 - Forward: Error: 64.16 nm, Time: 1.56 sec
Trial 14 - Backward: Error: -31.05 nm, Time: 0.89 sec
Trial 15 - Forward: Error: 33.40 nm, Time: 0.63 sec
Trial 15 - Backward: Error: -29.24 nm, Time: 0.41 sec
Trial 16 - Forward: Error: 75.53 nm, Time: 0.59 sec
Trial 16 - Backward: Error: -66.16 nm, Time: 0.28 sec
Trial 17 - Forward: Error: 10.77 nm, Time: 1.22 sec
Trial 17 - Backward: Error: -66.83 nm, Time: 0.61 sec
Trial 18 - Forward: Error: 11.26 nm, Time: 0.60 sec
Trial 18 - Backward: Error: -216.15 nm, Time: 0.34 sec
Trial 19 - Forward: Error: 29.16 nm, Time: 0.32 sec
Trial 19 - Backward: Error: 114.73 nm, Time: 0.38 sec
Trial 20 - Forward: Error: -6.08 nm, Time: 0.22 sec
Trial 20 - Backward: Error: -57.31 nm, Time: 0.32 sec
Trial 21 - Forward: Error: 6.79 nm, Time: 0.29 sec
Trial 21 - Backward: Error: -1.08 nm, Time: 0.31 sec
Trial 22 - Forward: Error: 18.48 nm, Time: 0.31 sec
Trial 22 - Backward: Error: 25.99 nm, Time: 0.64 sec
Trial 23 - Forward: Error: 41.30 nm, Time: 0.32 sec
Trial 23 - Backward: Error: -9.42 nm, Time: 0.31 sec
Trial 24 - Forward: Error: -10.91 nm, Time: 0.31 sec
Trial 24 - Backward: Error: -73.51 nm, Time: 0.32 sec
Trial 25 - Forward: Error: 50.68 nm, Time: 0.29 sec
Trial 25 - Backward: Error: -52.01 nm, Time: 0.32 sec
Trial 26 - Forward: Error: 85.42 nm, Time: 0.47 sec
Trial 26 - Backward: Error: -66.65 nm, Time: 0.43 sec
Trial 27 - Forward: Error: 49.35 nm, Time: 0.38 sec
Trial 27 - Backward: Error: 38.02 nm, Time: 0.53 sec
Trial 28 - Forward: Error: -24.43 nm, Time: 0.33 sec
Trial 28 - Backward: Error: 21.34 nm, Time: 0.62 sec
